employee_id,week,tasks_assigned,tasks_completed,missed_deadlines,meeting_hours,collaboration_score,engagement_score,learning_hours,burnout_risk
E001,1,20,18,2,7,0.78,0.86,3.4,Low
E001,2,19,19,0,6,0.86,0.85,2.1,Low
E001,3,15,15,0,9,0.76,0.91,2.7,High
E001,4,20,19,1,8,0.81,0.86,3.1,Low
E001,5,18,16,2,8,0.78,0.94,3.8,Low
E001,6,18,18,0,7,0.9,0.82,2.6,Medium
E001,7,20,19,1,11,0.82,0.89,3.7,Low
E001,8,21,20,1,5,0.81,0.92,2.5,Low
E001,9,18,18,0,6,0.9,0.86,2.3,Low
E001,10,22,20,2,9,0.93,0.93,3.7,Low
E001,11,20,20,0,6,0.84,0.88,4.5,Low
E001,12,18,18,0,9,0.95,0.88,4.0,Low
E002,1,25,23,2,5,0.82,0.79,4.0,Low
E002,2,18,18,0,7,0.73,0.83,4.2,Low
E002,3,21,21,0,5,0.82,0.82,4.4,High
E002,4,21,20,1,4,0.82,0.89,3.6,Low
E002,5,17,17,0,6,0.79,0.82,3.5,Low
E002,6,16,16,0,1,0.85,0.82,3.6,Low
E002,7,19,18,1,6,0.84,0.77,3.2,Low
E002,8,18,17,1,3,0.83,0.84,6.3,Low
E002,9,18,17,1,7,0.7,0.91,6.0,Medium
E002,10,21,19,2,5,0.87,0.8,5.2,Low
E002,11,21,19,2,9,0.85,0.87,3.9,Low
E002,12,16,16,0,6,0.87,0.88,2.9,Low
E003,1,18,18,0,7,0.85,0.79,3.7,Low
E003,2,14,13,1,9,0.73,0.75,4.8,Low
E003,3,13,12,1,8,0.72,0.8,4.8,High
E003,4,15,13,2,7,0.85,0.79,5.2,Low
E003,5,18,18,0,7,0.89,0.77,2.3,Low
E003,6,18,18,0,7,0.77,0.72,2.3,Medium
E003,7,18,18,0,9,0.83,0.9,2.1,Medium
E003,8,18,17,1,7,0.81,0.76,4.3,Low
E003,9,17,15,2,10,0.72,0.74,2.5,Low
E003,10,18,16,2,7,0.8,0.77,3.1,Low
E003,11,18,16,2,4,0.75,0.67,3.0,Low
E003,12,18,17,1,9,0.8,0.78,5.2,Low
E004,1,24,24,0,6,0.81,1.0,0.0,Low
E004,2,18,17,1,7,0.98,0.98,1.8,Low
E004,3,23,21,2,7,0.73,0.87,0.9,High
E004,4,20,19,1,4,0.76,0.93,1.3,Low
E004,5,18,18,0,6,0.85,0.94,0.3,Low
E004,6,19,17,2,8,0.83,0.95,1.1,Low
E004,7,24,22,2,4,0.86,0.93,0.0,Low
E004,8,20,19,1,7,0.83,0.89,0.4,Medium
E004,9,21,20,1,4,0.79,0.98,2.8,Medium
E004,10,22,22,0,3,0.88,0.91,0.0,Low
E004,11,21,20,1,9,0.82,0.98,0.2,Low
E004,12,17,17,0,9,0.71,0.93,0.8,Low
E005,1,25,23,2,17,0.94,0.85,3.4,Low
E005,2,27,27,0,18,0.78,0.82,3.3,Low
E005,3,24,24,0,12,0.82,0.9,1.6,High
E005,4,26,24,2,12,0.86,0.87,4.1,Medium
E005,5,24,24,0,15,0.88,0.85,4.4,Low
E005,6,20,18,2,13,0.89,0.89,2.1,Low
E005,7,25,25,0,13,0.92,0.77,1.8,Low
E005,8,25,24,1,14,0.93,0.8,3.6,Medium
E005,9,23,23,0,15,0.9,0.82,2.8,Medium
E005,10,25,23,2,16,0.99,0.81,2.9,Low
E005,11,24,22,2,17,0.91,0.89,2.3,Low
E005,12,24,23,1,10,0.88,0.88,2.9,Medium
E006,1,22,20,2,6,0.69,1.0,3.8,Low
E006,2,19,17,2,4,0.65,1.0,1.0,Low
E006,3,21,19,2,9,0.73,0.97,3.5,Low
E006,4,20,18,2,6,0.67,0.8,4.1,Low
E006,5,16,15,1,9,0.71,0.87,2.3,Low
E006,6,18,18,0,10,0.76,0.92,3.9,Low
E006,7,17,16,1,9,0.6,0.9,2.2,Low
E006,8,17,15,2,8,0.76,0.97,2.4,Low
E006,9,18,17,1,8,0.76,0.84,3.1,Low
E006,10,22,22,0,7,0.66,0.94,1.9,Low
E006,11,20,18,2,7,0.64,0.93,3.3,High
E006,12,23,23,0,8,0.67,0.9,3.6,Medium
E007,1,25,23,2,8,0.9,0.81,2.7,Low
E007,2,23,21,2,6,0.86,0.87,2.5,Low
E007,3,17,17,0,3,0.96,0.9,0.7,High
E007,4,22,21,1,7,0.8,0.79,0.0,Low
E007,5,22,21,1,6,0.93,0.85,1.4,Low
E007,6,19,19,0,4,0.93,0.84,0.0,Medium
E007,7,22,22,0,5,0.9,0.78,1.6,Low
E007,8,18,16,2,5,0.84,0.83,0.1,Low
E007,9,22,22,0,6,0.89,0.87,1.8,Medium
E007,10,21,20,1,3,0.86,0.78,1.0,Low
E007,11,23,23,0,0,0.85,0.84,3.1,Low
E007,12,22,21,1,4,0.83,0.86,0.4,Low
E008,1,21,20,1,11,0.79,0.88,1.5,Low
E008,2,19,17,2,10,0.7,0.85,1.8,Low
E008,3,15,14,1,10,0.67,0.86,1.5,Low
E008,4,13,12,1,11,0.82,0.86,1.0,Low
